Gender,Age,Education,Marital_Status,Employment_Status,Annual_Income,Co_Applicant_Income,State,Family_Members,Loan_Types,Savings_Balance,Existing_Loans,Home_Ownership,Mortgage,Loan_Amount,Loan_Term,Interest_Rate,Credit_History,Previous_Defaults,No_Of_Open_Accounts,Missed_Payments,Property_Area,Property_Value,Loan_Approveled
Female,52,Undergraduate,Married,Self-employed,306200,82100,Chandigarh,2,Startup Loan,161740,0,Rent,House,7001970,210,13.01,Good,0,3,0,Urban,3594800,0
Male,27,Not Graduate,Married,Employed,60100,0,Madhya Pradesh,5,Personal Loan,43400,1,Family,Home,356530,7,9.22,Good,0,8,0,Urban,174600,0
Male,64,Graduate,Married,Self-employed,440300,0,Jharkhand,5,Home Loan,123820,1,Rent,House,1060090,256,9.93,Good,0,6,2,Urban,491800,1
Male,61,Undergraduate,Single,Employed,296800,0,Delhi,6,Farm Equipment Loan,100740,0,Family,Agricultural Land,370280,107,6.79,Good,0,0,0,Urban,1406400,1
Female,76,Not Graduate,Single,Unemployed,60000,0,Chhattisgarh,8,Home Loan,15320,1,Rent,Apartment/Flat,4025760,171,8.13,Good,1,10,1,Semi-urban,1501100,0
Male,64,Not Graduate,Divorced,Employed,325800,0,Jammu and Kashmir,8,Business Loan,49560,2,Family,Commercial Property,1332390,89,11.86,Good,0,3,0,Semi-urban,963600,0
Male,41,Graduate,Married,Employed,563200,0,Nagaland,0,Car Loan / Vehicle Loan,175710,0,Rent,Car / Vehicle,801870,14,7.14,Good,0,10,1,Semi-urban,108400,0
Female,78,Undergraduate,Single,Employed,353900,0,Uttar Pradesh,5,Personal Loan,89880,1,Family,Home,187820,47,14.29,Good,0,3,0,Urban,79800,1
Male,43,Graduate,Married,Employed,180800,0,Maharashtra,1,Business Loan,37310,0,Rent,Commercial Property,1580330,179,16.59,Good,1,6,3,Semi-urban,3426500,0
Male,38,Undergraduate,Married,Self-employed,653800,0,Uttar Pradesh,5,Home Loan,322450,2,Rent,Apartment/Flat,662120,184,10.81,Bad,0,7,5,Urban,1993700,1
Male,75,Graduate,Married,Employed,1396800,0,Ladakh,5,Education Loan,470370,1,Own,Agricultural Land,1919680,32,11.56,Good,1,9,0,Urban,96600,1
Male,41,Undergraduate,Married,Employed,399700,0,Nagaland,10,Home Loan,358140,1,Family,House,4742830,170,10.22,Good,0,13,0,Rural,555400,0
Female,22,Undergraduate,Single,Employed,150000,0,Haryana,4,Education Loan,22800,1,Rent,Agricultural Land,213760,26,7.46,Good,0,10,0,Semi-urban,71200,1
Male,47,Graduate,Married,Employed,377600,0,Assam,4,Home Loan,82910,0,Family,Apartment/Flat,5234900,171,6.4,Good,0,6,1,Urban,2445900,0
Male,68,Graduate,Single,Self-employed,681200,0,Ladakh,5,Home Loan,50230,0,Own,House,1202750,218,8.88,Good,0,11,0,Urban,2275000,0
Female,29,Graduate,Married,Employed,306400,0,Puducherry,1,Home Loan,42130,2,Family,Apartment/Flat,4616650,264,14.67,Bad,0,9,2,Urban,2255600,0
Female,47,Undergraduate,Single,Self-employed,505200,120300,Telangana,0,Personal Loan,253990,2,Rent,Home,134290,43,13.53,Good,0,10,2,Semi-urban,36000,1
Female,26,Undergraduate,Married,Self-employed,295300,0,Andhra Pradesh,7,Travel Loan,172080,1,Family,Home,45870,4,11.46,Bad,2,5,2,Urban,195400,0
Female,61,Undergraduate,Married,Employed,262300,0,Delhi,3,Wedding Loan,138800,0,Rent,Home,117760,51,14.6,Good,1,10,0,Semi-urban,37600,1
Female,47,Graduate,Married,Employed,289700,291700,Nagaland,3,Consumer Durable Loan,248770,0,Family,Home,36600,17,17.51,Bad,1,14,2,Urban,468300,1
Male,38,Undergraduate,Married,Employed,256100,0,Himachal Pradesh,10,Business Loan,120350,2,Rent,Commercial Property,939580,61,6.0,Good,0,7,0,Semi-urban,1010300,0
Female,32,Undergraduate,Married,Employed,329900,0,Maharashtra,2,Business Loan,105710,1,Rent,Commercial Property,1357540,103,12.88,Good,0,5,2,Semi-urban,898300,0
Female,53,Graduate,Married,Self-employed,227700,0,Ladakh,9,Personal Loan,118530,2,Rent,Home,60350,8,14.11,Bad,0,7,1,Rural,253000,0
Male,60,Graduate,Single,Employed,433900,94200,West Bengal,6,Home Loan,72200,0,Rent,House,888190,332,11.88,Good,1,3,1,Urban,790100,1
Male,77,Graduate,Single,Employed,482400,0,Sikkim,2,Education Loan,39620,0,Rent,Agricultural Land,182460,12,11.5,Good,0,8,0,Urban,88800,1
Male,45,Graduate,Married,Self-employed,365000,0,Uttarakhand,10,Home Loan,81540,2,Family,House,2318000,276,9.43,Good,0,14,0,Urban,3639100,1
Female,28,Graduate,Single,Employed,610900,0,Dadra and Nagar Haveli and Daman and Diu,6,Business Loan,150100,0,Family,Land/Plot,550290,124,11.45,Good,0,9,0,Urban,1680900,1
Female,70,Graduate,Married,Self-employed,1056900,0,Tamil Nadu,3,Gold Loan,353830,1,Own,Gold,151330,8,11.44,Good,0,14,0,Urban,1963700,1
Female,57,Graduate,Single,Employed,618300,86700,Kerala,4,Home Loan,100030,3,Rent,House,773870,221,7.19,Bad,0,6,2,Urban,2089500,1
Male,62,Graduate,Married,Employed,1302700,109200,Assam,4,Business Loan,246710,2,Family,Land/Plot,2489160,69,6.98,Good,0,5,1,Rural,1547300,0
Male,24,Graduate,Single,Employed,398800,0,Chhattisgarh,9,Home Loan,229730,1,Rent,Apartment/Flat,1421040,254,13.14,Bad,1,6,1,Rural,1903100,0
Male,37,Undergraduate,Married,Employed,313900,404000,Himachal Pradesh,5,Wedding Loan,36330,2,Family,Home,283300,66,11.32,Good,0,2,0,Semi-urban,91300,1
Female,66,Undergraduate,Single,Unemployed,96300,219500,West Bengal,0,Farm Equipment Loan,27360,3,Rent,Land/Plot,756780,80,12.64,Good,0,8,2,Urban,1097600,0
Female,70,Graduate,Married,Employed,395900,0,Bihar,7,Personal Loan,74120,3,Rent,Home,218770,7,9.89,Good,0,6,1,Semi-urban,46800,1
Female,45,Undergraduate,Single,Self-employed,470500,76000,Chhattisgarh,8,Education Loan,37480,1,Rent,Agricultural Land,1952520,41,7.21,Good,0,2,1,Semi-urban,201500,0
Female,68,Undergraduate,Married,Unemployed,102100,0,Puducherry,4,Home Loan,22680,0,Rent,House,808440,360,9.8,Bad,0,9,2,Semi-urban,215400,0
Female,71,Graduate,Single,Employed,213600,0,Manipur,10,Gold Loan,32090,2,Rent,Gold,111780,32,11.52,Bad,0,11,3,Urban,2133900,1
Female,42,Graduate,Married,Self-employed,362800,20200,Chhattisgarh,4,Business Loan,79860,0,Family,Commercial Property,2685430,100,13.65,Good,0,3,0,Rural,271800,1
Male,74,Graduate,Married,Employed,865800,257000,Delhi,2,Home Loan,284390,1,Rent,Apartment/Flat,3892000,348,12.78,Bad,0,6,4,Urban,4666300,1
Male,36,Undergraduate,Divorced,Employed,69000,172000,Lakshadweep,7,Car Loan / Vehicle Loan,3730,0,Family,Car / Vehicle,1620420,53,10.89,Good,0,10,0,Urban,70600,0
Male,33,Graduate,Married,Unemployed,225800,37900,Odisha,1,Car Loan / Vehicle Loan,158840,1,Rent,Other,1527490,44,13.06,Good,0,13,0,Urban,188300,1
Male,60,Graduate,Married,Employed,674700,0,Chhattisgarh,10,Education Loan,2302990,1,Own,Agricultural Land,1117780,54,7.09,Good,0,5,2,Urban,63700,0
Male,58,Undergraduate,Married,Self-employed,377400,0,Tamil Nadu,7,Education Loan,54660,0,Family,Agricultural Land,236070,53,6.0,Good,0,4,0,Rural,152400,1
Male,26,Not Graduate,Single,Employed,185700,0,Delhi,3,Home Loan,35720,0,Rent,Apartment/Flat,2322030,347,7.43,Good,0,1,0,Semi-urban,1695700,0
Female,70,Graduate,Married,Employed,834700,0,Lakshadweep,0,Home Loan,133350,3,Own,Apartment/Flat,563770,284,9.02,Good,0,9,1,Rural,618000,1
Male,30,Undergraduate,Single,Employed,245000,178800,Rajasthan,6,Business Loan,31750,1,Family,Commercial Property,3770510,79,9.26,Good,0,3,0,Rural,957100,1
Female,68,Undergraduate,Married,Employed,663200,0,Ladakh,6,Home Loan,1005790,2,Own,House,5776770,246,6.0,Good,1,9,0,Semi-urban,983800,0
Female,18,Undergraduate,Single,Employed,244400,85900,Chandigarh,8,Car Loan / Vehicle Loan,58690,1,Rent,Car / Vehicle,227870,42,7.43,Good,0,9,0,Rural,56600,1
Female,68,Undergraduate,Married,Self-employed,472800,122400,Goa,3,Home Loan,253950,1,Rent,House,3396650,292,10.05,Good,0,10,0,Rural,1294500,0
Female,67,Undergraduate,Married,Employed,213700,0,Tamil Nadu,2,Consumer Durable Loan,168750,0,Family,Home,95150,10,13.07,Good,1,13,2,Urban,60300,1
Male,67,Graduate,Married,Unemployed,148400,0,Telangana,4,Home Loan,105530,0,Rent,House,523170,291,11.51,Good,0,4,1,Urban,2036600,0
Female,59,Graduate,Single,Employed,160100,0,West Bengal,9,Car Loan / Vehicle Loan,120930,0,Rent,Car / Vehicle,747840,55,13.1,Good,0,9,0,Urban,127900,0
Male,47,Undergraduate,Married,Employed,465700,107100,Punjab,9,Personal Loan,50050,1,Rent,Home,146420,16,11.75,Good,0,4,0,Semi-urban,301500,1
Female,62,Graduate,Married,Employed,390600,150900,Uttarakhand,3,Home Loan,249750,0,Rent,House,4899760,156,6.0,Good,0,8,1,Semi-urban,1724100,0
Male,35,Not Graduate,Single,Employed,148100,0,Sikkim,0,Farm Equipment Loan,33490,2,Rent,Agricultural Land,203750,61,15.87,Bad,2,2,3,Urban,988400,1
Male,67,Graduate,Single,Employed,705600,0,Jharkhand,1,Business Loan,809260,1,Own,Land/Plot,3022760,108,11.2,Good,0,5,1,Rural,1725600,0
Female,53,Undergraduate,Divorced,Employed,195700,314400,Nagaland,5,Education Loan,29740,1,Rent,Agricultural Land,1299710,45,9.7,Good,0,11,1,Semi-urban,103800,1
Female,46,Graduate,Married,Employed,474800,102700,Ladakh,0,Gold Loan,56220,1,Family,Gold,103690,9,13.69,Bad,3,3,3,Urban,3358400,0
Male,49,Graduate,Single,Employed,393000,123500,Dadra and Nagar Haveli and Daman and Diu,7,Home Loan,115980,1,Rent,House,1166980,218,6.0,Good,0,8,0,Semi-urban,1858400,1
Female,53,Undergraduate,Married,Employed,356400,84300,Telangana,0,Personal Loan,175760,1,Rent,Home,665970,56,11.65,Good,0,14,0,Rural,38900,1
Male,20,Graduate,Single,Employed,245000,258600,Kerala,4,Home Loan,17200,1,Rent,Apartment/Flat,601420,346,6.0,Good,0,4,0,Urban,2010600,1
Female,26,Undergraduate,Married,Employed,576300,0,Haryana,8,Personal Loan,122380,0,Rent,Home,68350,44,13.45,Good,0,12,0,Urban,191900,1
Male,33,Undergraduate,Married,Employed,326700,81000,Karnataka,5,Home Loan,39900,1,Rent,Apartment/Flat,723890,75,7.47,Bad,0,4,6,Semi-urban,2072800,0
Male,25,Not Graduate,Married,Self-employed,352500,0,Kerala,7,Education Loan,216720,0,Family,Agricultural Land,161140,56,6.0,Good,0,11,0,Urban,428700,1
Male,45,Undergraduate,Single,Employed,753800,0,Lakshadweep,3,Car Loan / Vehicle Loan,140760,0,Own,Car / Vehicle,1241620,24,10.54,Good,0,14,0,Urban,32600,0
Male,60,Not Graduate,Married,Employed,450800,0,Punjab,8,Personal Loan,325860,0,Rent,Home,58080,52,13.13,Bad,0,7,5,Rural,107100,1
Male,59,Not Graduate,Single,Employed,107100,0,Manipur,4,Home Loan,17730,1,Rent,Apartment/Flat,7018870,146,6.8,Bad,1,9,5,Urban,733800,0
Male,47,Graduate,Married,Employed,399300,89000,Delhi,8,Home Loan,149470,1,Rent,Apartment/Flat,2911120,70,6.22,Good,0,4,0,Urban,1281600,0
Male,71,Not Graduate,Married,Unemployed,60000,123800,Maharashtra,10,Gold Loan,5830,2,Rent,Gold,93550,8,12.19,Good,0,4,0,Rural,716200,1
Male,53,Not Graduate,Married,Self-employed,1555700,0,Andaman and Nicobar Islands,4,Gold Loan,418450,1,Own,Gold,173860,8,11.68,Good,1,12,0,Semi-urban,1043000,1
Female,22,Graduate,Married,Self-employed,143100,0,Telangana,2,Medical Loan,17480,0,Family,Home,122140,46,10.01,Good,0,8,0,Urban,313800,1
Male,66,Undergraduate,Single,Employed,172800,0,Karnataka,10,Car Loan / Vehicle Loan,172210,0,Rent,Car / Vehicle,312950,40,9.45,Good,0,10,0,Urban,35800,0
Female,54,Graduate,Single,Employed,107200,0,Lakshadweep,7,Home Loan,74270,2,Family,House,7679600,308,7.46,Good,0,4,1,Urban,4309900,0
Female,57,Undergraduate,Married,Employed,222600,130900,Tripura,9,Personal Loan,77670,1,Rent,Vehicle,241220,21,8.12,Good,0,9,0,Urban,152800,1
Male,53,Graduate,Married,Self-employed,574200,0,Puducherry,4,Car Loan / Vehicle Loan,382240,0,Family,Car / Vehicle,904780,16,6.0,Good,0,13,0,Rural,36400,0
Female,52,Undergraduate,Single,Employed,715700,0,Andhra Pradesh,3,Business Loan,140780,0,Own,Commercial Property,421340,77,10.53,Good,0,11,0,Urban,2660300,1
Male,23,Graduate,Married,Employed,131500,0,Karnataka,1,Home Loan,62940,1,Rent,Apartment/Flat,7081610,132,9.59,Good,0,4,0,Urban,1528400,0
Male,53,Undergraduate,Married,Employed,749700,0,Kerala,8,Business Loan,206430,1,Rent,Commercial Property,495610,135,10.76,Good,1,8,0,Semi-urban,1983800,1
Female,68,Graduate,Married,Self-employed,518300,0,Tripura,9,Education Loan,229710,0,Rent,Agricultural Land,205740,179,9.8,Good,0,6,0,Rural,37200,1
Female,37,Undergraduate,Married,Employed,223200,0,Dadra and Nagar Haveli and Daman and Diu,9,Home Loan,72280,1,Rent,Apartment/Flat,955330,226,10.74,Good,0,8,0,Semi-urban,1553200,0
Female,55,Undergraduate,Single,Employed,432900,192800,Chhattisgarh,3,Gold Loan,121480,0,Rent,Gold,85110,24,7.15,Good,0,8,0,Urban,2429000,1
Male,19,Undergraduate,Single,Unemployed,111300,0,Goa,5,Personal Loan,7680,0,Rent,Fixed Deposit,427440,48,12.8,Good,0,3,0,Urban,238900,0
Female,39,Graduate,Married,Employed,393600,0,Tripura,5,Personal Loan,68920,1,Rent,Home,162210,51,7.05,Good,0,1,1,Rural,68600,1
Male,45,Graduate,Married,Unemployed,75600,0,Madhya Pradesh,1,Car Loan / Vehicle Loan,94770,0,Rent,Car / Vehicle,669290,37,14.92,Good,0,6,0,Semi-urban,59300,0
Male,79,Graduate,Married,Employed,621300,0,Uttar Pradesh,0,Personal Loan,166330,0,Own,Home,1039000,36,9.68,Good,0,3,1,Rural,27700,1
Male,31,Not Graduate,Married,Unemployed,74000,0,Andhra Pradesh,3,Education Loan,12280,1,Rent,Agricultural Land,1369690,28,11.73,Good,0,4,1,Urban,91600,0
Other,35,Graduate,Single,Unemployed,99200,0,Odisha,5,Personal Loan,30310,0,Rent,Home,155590,42,14.23,Bad,0,4,3,Semi-urban,75800,0
Male,43,Undergraduate,Married,Employed,588100,368100,Andhra Pradesh,10,Personal Loan,51120,3,Rent,Home,187920,11,8.54,Good,0,7,0,Rural,20200,1
Female,80,Graduate,Single,Self-employed,152400,0,Lakshadweep,9,Business Loan,30700,0,Rent,Commercial Property,253570,12,6.0,Good,0,11,0,Urban,2975300,1
Female,71,Undergraduate,Single,Employed,479000,197400,Goa,7,Personal Loan,163690,1,Rent,Home,169750,17,11.68,Good,0,13,0,Urban,73600,1
Female,20,Graduate,Divorced,Employed,322600,0,Gujarat,10,Gold Loan,140960,0,Rent,Gold,81670,20,10.72,Good,0,4,1,Urban,2330200,1
Female,32,Graduate,Divorced,Employed,143700,61500,Bihar,8,Home Loan,55820,0,Rent,House,1007270,353,12.25,Bad,1,8,5,Semi-urban,1597200,0
Female,69,Graduate,Single,Employed,217600,0,Haryana,5,Home Loan,215060,0,Rent,Land/Plot,3722270,182,7.03,Good,1,6,1,Urban,3647800,0
Male,21,Graduate,Married,Employed,378600,0,Nagaland,10,Car Loan / Vehicle Loan,65060,0,Rent,Car / Vehicle,225400,35,9.56,Good,0,8,0,Urban,42400,1
Male,71,Graduate,Single,Employed,938600,0,Tamil Nadu,10,Gold Loan,83080,3,Own,Gold,52490,13,11.74,Good,0,12,1,Semi-urban,1309700,1
Female,35,Graduate,Divorced,Unemployed,232700,0,Jammu and Kashmir,2,Consumer Durable Loan,51400,2,Rent,Home,184900,24,13.29,Good,0,12,0,Semi-urban,61400,1
Male,75,Undergraduate,Married,Self-employed,293300,239100,Delhi,3,Home Loan,54940,2,Rent,House,1689590,331,7.96,Good,0,13,0,Urban,3696800,1
Male,36,Not Graduate,Single,Employed,238100,0,Bihar,10,Education Loan,81310,0,Rent,Agricultural Land,210020,118,6.0,Good,0,11,1,Rural,145800,0
Male,45,Graduate,Married,Employed,525300,0,Meghalaya,0,Home Loan,122680,2,Rent,Apartment/Flat,712450,119,7.63,Good,0,10,0,Urban,2085300,1
Male,59,Not Graduate,Married,Employed,115400,0,Delhi,5,Home Loan,38070,1,Rent,Apartment/Flat,1284240,349,7.02,Good,1,8,0,Semi-urban,1712400,0
Male,25,Graduate,Single,Employed,278200,111000,Goa,4,Car Loan / Vehicle Loan,88840,0,Family,Car / Vehicle,1168680,67,10.06,Good,0,7,0,Semi-urban,81700,0
Male,53,Graduate,Single,Unemployed,169000,0,Tripura,8,Personal Loan,100880,1,Rent,Home,130970,12,11.38,Good,0,6,0,Semi-urban,284300,1
Female,49,Graduate,Married,Unemployed,227100,0,Meghalaya,10,Home Loan,66030,0,Rent,Apartment/Flat,515430,172,9.61,Good,0,7,0,Semi-urban,973500,1
Male,67,Graduate,Single,Employed,359300,210800,Gujarat,3,Home Loan,124380,0,Family,Apartment/Flat,1180330,121,6.22,Good,0,5,0,Semi-urban,1027400,1
Other,80,Graduate,Single,Employed,978700,0,Assam,2,Personal Loan,1195820,1,Rent,Home,554960,56,9.2,Good,0,4,0,Semi-urban,149800,1
